"violation_date","daily_total_violations","daily_total_cyclists"
2018-09-22,79,33163
2018-09-23,39,23209
2018-09-24,99,32533
2018-09-25,50,10635
2018-09-26,120,26411
2018-09-27,194,33668
2018-09-28,66,20320
2018-09-29,60,30972
2018-09-30,47,28222
2018-10-01,124,34204
2018-10-02,159,34611
2018-10-03,102,36519
2018-10-04,136,34432
2018-10-05,107,32590
2018-10-06,31,25280
2018-10-07,47,26329
2018-10-08,85,24827
2018-10-09,167,33653
2018-10-10,203,35966
2018-10-11,121,17074
2018-10-12,126,27663
2018-10-13,29,19053
2018-10-14,32,22523
2018-10-15,35,21746
2018-10-16,128,30546
2018-10-17,156,29536
2018-10-18,145,25455
2018-10-19,95,26548
2018-10-20,46,22962
2018-10-21,72,15813
2018-10-22,104,24594
2018-10-23,134,30019
2018-10-24,174,27870
2018-10-25,145,26408
2018-10-26,75,23547
2018-10-27,11,6197
2018-10-28,51,17138
2018-10-29,76,24884
2018-10-30,139,28188
2018-10-31,117,29010
2018-11-01,88,32638
2018-11-02,55,21434
2018-11-03,14,17806
2018-11-04,58,18363
2018-11-05,48,11916
2018-11-06,64,13844
2018-11-07,138,29557
2018-11-08,130,28251
2018-11-09,117,14353
2018-11-10,42,14962
2018-11-11,42,14581
2018-11-12,100,20778
2018-11-13,78,12434
2018-11-14,181,20799
2018-11-15,76,8235
2018-11-16,64,10091
2018-11-17,57,14820
2018-11-18,34,13353
2018-11-19,108,21847
2018-11-20,73,20007
2018-11-21,64,15242
2018-11-22,1,3269
2018-11-23,45,6406
2018-11-24,26,7895
2018-11-25,39,14196
2018-11-26,50,11170
2018-11-27,111,19522
2018-11-28,106,18554
2018-11-29,125,19863
2018-11-30,94,16441
2018-12-01,31,13878
2018-12-02,6,6881
2018-12-03,125,22721
2018-12-04,111,19637
2018-12-05,71,17714
2018-12-06,138,17535
2018-12-07,54,16458
2018-12-08,34,10875
2018-12-09,30,10634
2018-12-10,92,17039
2018-12-11,192,17944
2018-12-12,109,18255
2018-12-13,130,13453
2018-12-14,49,16223
2018-12-15,26,11573
2018-12-16,8,4777
2018-12-17,123,17103
2018-12-18,169,15242
2018-12-19,118,15871
2018-12-20,136,11972
2018-12-21,34,7673
2018-12-22,14,9706
2018-12-23,34,8467
2018-12-24,2,6283
2018-12-25,NA,4046
2018-12-26,74,9736
2018-12-27,75,11755
2018-12-28,13,5420
2018-12-29,37,12023
2018-12-30,18,8675
2018-12-31,NA,7315
2019-01-01,17,8830
2019-01-02,49,15529
2019-01-03,109,17134
2019-01-04,70,16759
2019-01-05,19,6566
2019-01-06,32,12172
2019-01-07,37,14454
2019-01-08,73,13689
2019-01-09,220,17599
2019-01-10,124,14392
2019-01-11,80,12027
2019-01-12,40,8967
2019-01-13,26,7957
2019-01-14,46,12874
2019-01-15,137,15012
2019-01-16,138,15545
2019-01-17,86,14358
2019-01-18,88,10943
2019-01-19,35,8493
2019-01-20,6,4896
2019-01-21,28,3913
2019-01-22,107,9248
2019-01-23,127,14902
2019-01-24,125,7577
2019-01-25,136,14284
2019-01-26,57,9377
2019-01-27,36,11625
2019-01-28,89,14122
2019-01-29,123,10670
2019-01-30,110,7815
2019-01-31,73,5563
2019-02-01,74,7966
2019-02-02,46,8099
2019-02-03,37,12582
2019-02-04,98,20327
2019-02-05,213,23793
2019-02-06,214,15611
2019-02-07,259,16151
2019-02-08,114,12834
2019-02-09,54,8922
2019-02-10,19,9361
2019-02-11,103,15002
2019-02-12,28,5233
2019-02-13,146,11089
2019-02-14,166,15595
2019-02-15,136,17610
2019-02-16,57,12560
2019-02-17,21,9784
2019-02-18,110,9528
2019-02-19,152,13280
2019-02-20,26,6570
2019-02-21,171,12921
2019-02-22,137,15983
2019-02-23,97,12332
2019-02-24,33,8457
2019-02-25,84,11800
2019-02-26,146,13716
2019-02-27,203,12574
2019-02-28,158,13334
2019-03-01,120,10015
2019-03-02,27,6147
2019-03-03,19,8654
2019-03-04,75,7074
2019-03-05,151,11507
2019-03-06,152,10496
2019-03-07,161,11340
2019-03-08,78,12959
2019-03-09,62,14895
2019-03-10,33,6779
2019-03-11,183,20418
2019-03-12,198,18236
2019-03-13,193,18571
2019-03-14,155,21778
2019-03-15,59,18569
2019-03-16,55,16657
2019-03-17,51,13175
2019-03-18,75,18343
2019-03-19,253,20566
2019-03-20,132,21907
2019-03-21,193,7862
2019-03-22,84,10716
2019-03-23,31,13224
2019-03-24,11,20474
2019-03-25,84,21726
2019-03-26,133,21026
2019-03-27,165,21076
2019-03-28,209,22160
2019-03-29,121,22130
2019-03-30,51,27305
2019-03-31,14,11828
2019-04-01,122,19137
2019-04-02,198,22169
2019-04-03,197,26685
2019-04-04,153,26476
2019-04-05,107,11878
2019-04-06,55,27565
2019-04-07,52,26315
2019-04-08,100,30197
2019-04-09,125,21868
2019-04-10,76,29050
2019-04-11,183,23872
2019-04-12,132,21142
2019-04-13,57,29012
2019-04-14,39,23392
2019-04-15,88,18580
2019-04-16,197,28925
2019-04-17,176,28868
2019-04-18,157,23332
2019-04-19,113,24172
2019-04-20,24,12473
2019-04-21,17,22634
2019-04-22,84,17642
2019-04-23,183,36094
2019-04-24,137,35730
2019-04-25,290,28353
2019-04-26,134,11690
2019-04-27,44,22733
2019-04-28,32,15467
2019-04-29,165,27483
2019-04-30,184,24944
2019-05-01,177,24581
2019-05-02,149,27196
2019-05-03,163,23911
2019-05-04,58,22575
2019-05-05,22,12135
2019-05-06,169,32504
2019-05-07,223,32351
2019-05-08,191,34361
2019-05-09,152,28287
2019-05-10,117,24654
2019-05-11,31,30044
2019-05-12,15,5493
2019-05-13,50,8371
2019-05-14,191,15617
2019-05-15,271,31920
2019-05-16,173,34357
2019-05-17,76,29949
2019-05-18,39,32518
2019-05-19,88,27922
2019-05-20,155,33073
2019-05-21,118,35009
2019-05-22,207,36492
2019-05-23,170,18652
2019-05-24,120,32970
2019-05-25,36,26885
2019-05-26,16,22478
2019-05-27,83,28855
2019-05-28,122,21816
2019-05-29,156,21717
2019-05-30,156,19536
2019-05-31,155,36525
2019-06-01,43,31829
2019-06-02,48,25648
2019-06-03,217,35861
2019-06-04,212,38948
2019-06-05,148,29290
2019-06-06,153,35956
2019-06-07,96,35468
2019-06-08,38,34363
2019-06-09,37,31583
2019-06-10,103,11498
2019-06-11,196,30023
2019-06-12,226,34954
2019-06-13,100,15271
2019-06-14,179,36164
2019-06-15,59,33849
2019-06-16,73,23083
2019-06-17,174,27708
2019-06-18,125,13815
2019-06-19,187,21518
2019-06-20,173,20395
2019-06-21,106,24202
2019-06-22,72,35440
2019-06-23,95,33449
2019-06-24,88,36516
2019-06-25,93,25896
2019-06-26,203,39525
2019-06-27,180,38932
2019-06-28,103,40549
2019-06-29,50,36991
2019-06-30,36,34234
2019-07-01,89,40239
2019-07-02,166,38675
2019-07-03,232,33075
2019-07-04,72,23196
2019-07-05,142,36028
2019-07-06,79,34421
2019-07-07,160,48335
2019-07-08,149,35053
2019-07-09,241,49478
2019-07-10,221,50481
2019-07-11,198,36042
2019-07-12,192,46080
2019-07-13,83,43894
2019-07-14,79,46422
2019-07-15,51,55429
2019-07-16,161,57394
2019-07-17,194,54404
2019-07-18,68,43045
2019-07-19,166,36867
2019-07-20,71,24694
2019-07-21,66,35626
2019-07-22,79,29699
2019-07-23,103,22914
2019-07-24,159,42673
2019-07-25,157,39744
2019-07-26,160,36257
2019-07-27,74,36885
2019-07-28,81,28091
2019-07-29,73,33658
2019-07-30,193,35621
2019-07-31,240,27344
2019-08-01,229,40207
2019-08-02,181,35832
2019-08-03,62,31734
2019-08-04,54,27777
2019-08-05,77,36441
2019-08-06,108,36256
2019-08-07,198,21379
2019-08-08,272,36140
2019-08-09,312,36088
2019-08-10,65,36253
2019-08-11,18,33018
2019-08-12,154,34828
2019-08-13,164,29234
2019-08-14,128,31287
2019-08-15,324,39380
2019-08-16,126,34378
2019-08-17,45,34950
2019-08-18,44,25010
2019-08-19,90,31464
2019-08-20,148,35505
2019-08-21,195,28886
2019-08-22,127,31364
2019-08-23,77,25265
2019-08-24,45,30385
2019-08-25,35,29053
2019-08-26,81,34181
2019-08-27,128,36571
2019-08-28,132,26935
2019-08-29,87,36613
2019-08-30,73,32651
2019-08-31,32,27756
2019-09-01,23,27958
2019-09-02,34,14882
2019-09-03,147,37225
2019-09-04,171,34878
2019-09-05,188,38352
2019-09-06,99,22175
2019-09-07,56,31041
2019-09-08,46,36948
2019-09-09,139,36084
2019-09-10,186,36309
2019-09-11,145,38800
2019-09-12,235,27578
2019-09-13,203,35263
2019-09-14,60,29814
2019-09-15,36,32114
2019-09-16,110,33185
2019-09-17,169,39150
2019-09-18,259,37615
2019-09-19,262,36594
2019-09-20,133,35326
2019-09-21,45,34250
2019-09-22,27,30554
2019-09-23,66,34794
2019-09-24,85,38234
2019-09-25,120,38436
2019-09-26,120,33268
2019-09-27,101,34995
2019-09-28,30,31715
2019-09-29,31,29612
2019-09-30,189,32011
2019-10-01,291,35975
2019-10-02,308,32472
2019-10-03,188,14501
2019-10-04,134,32100
2019-10-05,75,26635
2019-10-06,65,24180
2019-10-07,77,28178
2019-10-08,177,29558
2019-10-09,84,17562
2019-10-10,82,29112
2019-10-11,83,28081
2019-10-12,42,26301
2019-10-13,51,24047
2019-10-14,88,29371
2019-10-15,140,33408
2019-10-16,111,15508
2019-10-17,102,22602
2019-10-18,118,26749
2019-10-19,57,26644
2019-10-20,21,12399
2019-10-21,96,31281
2019-10-22,94,19287
2019-10-23,185,31130
2019-10-24,156,46063
2019-10-25,159,54242
2019-10-26,52,50389
2019-10-27,6,25329
2019-10-28,112,53517
2019-10-29,149,43231
2019-10-30,170,59750
2019-10-31,18,28024
2019-11-01,68,45911
2019-11-02,30,40573
2019-11-03,19,40550
2019-11-04,120,59291
2019-11-05,140,58329
2019-11-06,240,57384
2019-11-07,147,40896
2019-11-08,91,23689
2019-11-09,19,17053
2019-11-10,19,21793
2019-11-11,94,53120
2019-11-12,56,47934
2019-11-13,97,30166
2019-11-14,205,36012
2019-11-15,138,40300
2019-11-16,40,18200
2019-11-17,24,16532
2019-11-18,48,17970
2019-11-19,146,27731
2019-11-20,148,30953
2019-11-21,128,32840
2019-11-22,157,29261
2019-11-23,15,44627
2019-11-24,14,25183
2019-11-25,141,48899
2019-11-26,106,57323
2019-11-27,111,57456
2019-11-28,NA,32521
2019-11-29,48,37876
2019-11-30,25,24132
2019-12-01,8,22668
2019-12-02,4,23840
2019-12-03,84,27599
2019-12-04,81,32334
2019-12-05,59,22775
2019-12-06,48,23040
2019-12-07,33,16747
2019-12-08,25,16503
2019-12-09,18,9983
2019-12-10,76,16390
2019-12-11,85,14997
2019-12-12,131,19132
2019-12-13,77,15123
2019-12-14,33,13193
2019-12-15,28,15837
2019-12-16,62,17707
2019-12-17,29,9944
2019-12-18,51,16669
2019-12-19,29,12192
2019-12-20,63,15284
2019-12-21,53,12125
2019-12-22,107,12600
2019-12-23,21,16750
2019-12-24,3,11454
2019-12-25,NA,6289
2019-12-26,116,13169
2019-12-27,49,15656
2019-12-28,22,14876
2019-12-29,31,10633
2019-12-30,34,8283
2019-12-31,NA,13622
2020-01-01,16,9998
2020-01-02,58,19529
2020-01-03,55,14293
2020-01-04,45,14570
2020-01-05,36,13633
2020-01-06,91,19003
2020-01-07,138,20068
2020-01-08,150,18533
2020-01-09,117,17268
2020-01-10,107,22031
2020-01-11,45,25235
2020-01-12,38,22616
2020-01-13,104,22244
2020-01-14,104,19018
2020-01-15,173,24827
2020-01-16,116,19944
2020-01-17,102,15740
2020-01-18,35,8459
2020-01-19,28,12112
2020-01-20,64,12423
2020-01-21,95,16540
2020-01-22,143,19044
2020-01-23,167,21513
2020-01-24,100,22603
2020-01-25,28,10347
2020-01-26,18,17135
2020-01-27,144,21110
2020-01-28,185,21434
2020-01-29,214,21139
2020-01-30,126,19690
2020-01-31,107,20872
2020-02-01,60,15769
2020-02-02,24,14775
2020-02-03,132,24199
2020-02-04,213,20588
2020-02-05,187,21445
2020-02-06,104,13544
2020-02-07,44,14487
2020-02-08,39,15670
2020-02-09,52,15890
2020-02-10,72,12705
2020-02-11,70,14997
2020-02-12,146,21894
2020-02-13,94,15643
2020-02-14,65,16975
2020-02-15,48,10966
2020-02-16,43,14266
2020-02-17,122,19077
2020-02-18,188,18132
2020-02-19,231,22676
2020-02-20,135,19151
2020-02-21,105,17116
2020-02-22,54,18347
2020-02-23,52,21628
2020-02-24,116,25816
2020-02-25,101,17134
2020-02-26,110,18944
2020-02-27,104,18554
2020-02-28,107,18837
2020-02-29,36,14564
2020-03-01,63,15722
2020-03-02,104,26421
2020-03-03,108,21646
2020-03-04,114,27755
2020-03-05,109,27774
2020-03-06,53,17398
2020-03-07,34,19061
2020-03-08,47,23111
2020-03-09,96,36214
2020-03-10,125,31760
2020-03-11,224,33499
2020-03-12,162,29385
2020-03-13,60,23417
2020-03-14,74,25909
2020-03-15,56,22491
2020-03-16,45,20867
2020-03-17,86,16851
2020-03-18,93,23165
2020-03-19,57,15323
2020-03-20,26,22286
2020-03-21,18,22613
2020-03-22,7,14461
2020-03-23,16,4737
2020-03-24,58,18269
2020-03-25,35,9890
2020-03-26,27,19236
2020-03-27,20,21207
2020-03-28,1,7499
2020-03-29,1,7668
2020-03-30,3,12258
2020-03-31,NA,11947
2020-04-01,1,16378
2020-04-02,2,14956
2020-04-03,4,8937
2020-04-04,2,21897
2020-04-05,NA,18829
2020-04-06,2,19955
2020-04-07,NA,18119
2020-04-08,1,15458
2020-04-09,1,9938
2020-04-10,NA,11469
2020-04-11,2,23364
2020-04-12,2,21874
2020-04-13,NA,5381
2020-04-14,3,19110
2020-04-15,10,16053
2020-04-16,4,15194
2020-04-17,2,14111
2020-04-18,NA,10966
2020-04-19,NA,33943
2020-04-20,2,16159
2020-04-21,3,12135
2020-04-22,NA,17549
2020-04-23,4,14193
2020-04-24,1,9435
2020-04-25,1,43338
2020-04-26,NA,7599
2020-04-27,NA,12590
2020-04-28,1,30539
2020-04-29,NA,15760
2020-04-30,1,9875
2020-05-01,1,16645
2020-05-02,9,49335
2020-05-03,1,39832
2020-05-04,2,22717
2020-05-05,7,24557
2020-05-06,3,13612
2020-05-07,9,31927
2020-05-08,2,13429
2020-05-09,4,18172
2020-05-10,4,35786
2020-05-11,5,15685
2020-05-12,8,25798
2020-05-13,13,29504
2020-05-14,43,29677
2020-05-15,11,34124
2020-05-16,5,53145
2020-05-17,10,40829
2020-05-18,8,26420
2020-05-19,27,27883
2020-05-20,51,31709
2020-05-21,25,33707
2020-05-22,22,33109
2020-05-23,3,14153
2020-05-24,9,49093
2020-05-25,12,44030
2020-05-26,36,35923
2020-05-27,88,37993
2020-05-28,59,30449
2020-05-29,44,34419
2020-05-30,3,53395
2020-05-31,6,50190
2020-06-01,NA,33715
2020-06-02,11,35522
2020-06-03,25,25156
2020-06-04,22,35646
2020-06-05,NA,23705
2020-06-06,NA,45606
2020-06-07,6,51057
2020-06-08,1,39495
2020-06-09,4,40872
2020-06-10,7,42779
2020-06-11,7,27461
2020-06-12,15,47253
2020-06-13,9,57195
2020-06-14,3,49703
2020-06-15,8,37212
2020-06-16,31,43038
2020-06-17,44,42082
2020-06-18,38,40235
2020-06-19,12,50605
2020-06-20,9,52924
2020-06-21,1,43483
2020-06-22,19,38054
2020-06-23,16,42279
2020-06-24,34,43045
2020-06-25,50,44900
2020-06-26,58,47294
2020-06-27,7,35437
2020-06-28,45,43921
2020-06-29,23,39992
2020-06-30,41,39941
2020-07-01,16,37234
2020-07-02,15,46227
2020-07-03,11,34362
2020-07-04,2,44123
2020-07-05,11,36372
2020-07-06,13,29608
2020-07-07,45,39569
2020-07-08,33,38042
2020-07-09,48,46613
2020-07-10,14,16046
2020-07-11,11,37102
2020-07-12,3,48045
2020-07-13,30,40361
2020-07-14,22,46204
2020-07-15,34,47657
2020-07-16,43,47633
2020-07-17,23,39729
2020-07-18,10,48514
2020-07-19,4,37177
2020-07-20,33,34522
2020-07-21,47,43293
2020-07-22,40,34647
2020-07-23,34,37889
2020-07-24,11,35679
2020-07-25,18,52522
2020-07-26,6,39972
2020-07-27,16,36980
2020-07-28,51,40621
2020-07-29,73,45294
2020-07-30,42,43254
2020-07-31,17,37009
2020-08-01,NA,52878
2020-08-02,7,35751
2020-08-03,31,40155
2020-08-04,27,22009
2020-08-05,38,48233
2020-08-06,55,45302
2020-08-07,44,33710
2020-08-08,22,51331
2020-08-09,8,45732
2020-08-10,31,40161
2020-08-11,52,44287
2020-08-12,48,37524
2020-08-13,32,34143
2020-08-14,14,47588
2020-08-15,5,52761
2020-08-16,2,19211
2020-08-17,8,40628
2020-08-18,42,47499
2020-08-19,43,38588
2020-08-20,58,50351
2020-08-21,33,47586
2020-08-22,25,48282
2020-08-23,11,44040
2020-08-24,44,40113
2020-08-25,51,40810
2020-08-26,90,50149
2020-08-27,48,37766
2020-08-28,40,43361
2020-08-29,19,32334
2020-08-30,7,52384
2020-08-31,29,42249
2020-09-01,57,41863
2020-09-02,83,37544
2020-09-03,105,41719
2020-09-04,51,47783
2020-09-05,30,49745
2020-09-06,2,43893
2020-09-07,21,43876
2020-09-08,65,45726
2020-09-09,86,48083
2020-09-10,30,25003
2020-09-11,50,52006
2020-09-12,26,57637
2020-09-13,39,44988
2020-09-14,27,44903
2020-09-15,108,46914
2020-09-16,170,48760
2020-09-17,90,48922
2020-09-18,75,47921
2020-09-19,35,48252
2020-09-20,14,42384
2020-09-21,38,40407
2020-09-22,116,46183
2020-09-23,91,51240
2020-09-24,84,49178
2020-09-25,65,50583
2020-09-26,36,52210
2020-09-27,15,45111
2020-09-28,38,41643
2020-09-29,72,30936
2020-09-30,90,43029
2020-10-01,133,49587
2020-10-02,48,41047
2020-10-03,45,51255
2020-10-04,10,42357
2020-10-05,21,41369
2020-10-06,62,47103
2020-10-07,72,44835
2020-10-08,54,46345
2020-10-09,50,46383
2020-10-10,28,50707
2020-10-11,15,38700
2020-10-12,11,11349
2020-10-13,80,24730
2020-10-14,94,49064
2020-10-15,118,51744
2020-10-16,18,17719
2020-10-17,18,45589
2020-10-18,16,40821
2020-10-19,34,40504
2020-10-20,50,40591
2020-10-21,74,44241
2020-10-22,55,45287
2020-10-23,45,44349
2020-10-24,21,46810
2020-10-25,9,31489
2020-10-26,22,25588
2020-10-27,71,39943
2020-10-28,95,31447
2020-10-29,38,14612
2020-10-30,19,19322
2020-10-31,7,33973
2020-11-01,18,19561
2020-11-02,35,25888
2020-11-03,30,32982
2020-11-04,75,37327
2020-11-05,82,42652
2020-11-06,42,45053
2020-11-07,19,56453
2020-11-08,19,47542
2020-11-09,37,41963
2020-11-10,81,46121
2020-11-11,70,25281
2020-11-12,46,21577
2020-11-13,47,25559
2020-11-14,38,42535
2020-11-15,18,26066
2020-11-16,41,31949
2020-11-17,126,30399
2020-11-18,53,25249
2020-11-19,84,28657
2020-11-20,48,38629
2020-11-21,9,45043
2020-11-22,8,25484
2020-11-23,15,22018
2020-11-24,37,29310
2020-11-25,48,31038
2020-11-26,2,13794
2020-11-27,13,30518
2020-11-28,26,30595
2020-11-29,12,31014
2020-11-30,11,14086
2020-12-01,33,29515
2020-12-02,64,25768
2020-12-03,85,30045
2020-12-04,27,22870
2020-12-05,6,17090
2020-12-06,17,23181
2020-12-07,32,23872
2020-12-08,38,23828
2020-12-09,58,21399
2020-12-10,62,29708
2020-12-11,40,33749
2020-12-12,34,26088
2020-12-13,18,35446
2020-12-14,18,15579
2020-12-15,41,25637
2020-12-16,47,13498
2020-12-17,1,1962
2020-12-18,16,7989
2020-12-19,12,9430
2020-12-20,5,9863
2020-12-21,10,16295
2020-12-22,25,19701
2020-12-23,40,21248
2020-12-24,18,16273
2020-12-25,NA,6558
2020-12-26,1,11900
2020-12-27,6,15360
2020-12-28,31,22222
2020-12-29,55,19486
2020-12-30,34,19939
2020-12-31,3,13980
2021-01-01,4,11845
2021-01-02,12,25126
2021-01-03,7,9699
2021-01-04,15,21047
2021-01-05,45,22808
2021-01-06,57,22849
2021-01-07,43,23274
2021-01-08,39,22180
2021-01-09,8,19721
2021-01-10,9,20569
2021-01-11,12,20367
2021-01-12,39,23980
2021-01-13,32,24075
2021-01-14,68,27346
2021-01-15,31,23538
2021-01-16,24,21879
2021-01-17,18,22595
2021-01-18,39,24092
2021-01-19,150,23601
2021-01-20,93,20550
2021-01-21,154,23480
2021-01-22,96,25656
2021-01-23,25,18086
2021-01-24,31,15985
2021-01-25,49,20455
2021-01-26,42,14187
2021-01-27,73,21892
2021-01-28,60,19708
2021-01-29,33,13338
2021-01-30,13,15256
2021-01-31,35,12248
2021-02-01,NA,732
2021-02-02,10,2861
2021-02-03,36,7810
2021-02-04,60,12168
2021-02-05,39,15508
2021-02-06,21,17588
2021-02-07,2,6499
2021-02-08,16,9636
2021-02-09,57,12020
2021-02-10,50,14876
2021-02-11,39,12633
2021-02-12,24,14444
2021-02-13,18,12834
2021-02-14,12,13138
2021-02-15,42,12609
2021-02-16,67,18987
2021-02-17,144,16781
2021-02-18,30,4268
2021-02-19,46,8044
2021-02-20,27,12427
2021-02-21,41,14306
2021-02-22,25,11280
2021-02-23,88,17039
2021-02-24,89,24959
2021-02-25,91,23901
2021-02-26,42,23994
2021-02-27,16,15155
2021-02-28,20,12047
2021-03-01,34,16656
2021-03-02,52,16184
2021-03-03,95,27185
2021-03-04,81,22256
2021-03-05,22,19225
