"violation_date","daily_total_violations","daily_total_cyclists"
2021-03-06,17,17514
2021-03-07,14,18638
2021-03-08,28,20199
2021-03-09,76,32694
2021-03-10,75,29545
2021-03-11,64,37011
2021-03-12,65,35782
2021-03-13,25,27658
2021-03-14,29,22408
2021-03-15,40,17179
2021-03-16,60,19278
2021-03-17,88,23990
2021-03-18,36,12425
2021-03-19,52,21087
2021-03-20,45,32845
2021-03-21,27,36546
2021-03-22,27,30100
2021-03-23,67,33526
2021-03-24,64,17640
2021-03-25,97,32564
2021-03-26,47,32798
2021-03-27,15,43353
2021-03-28,2,12744
2021-03-29,51,24975
2021-03-30,85,32603
2021-03-31,56,20750
2021-04-01,59,20304
2021-04-02,50,20484
2021-04-03,14,28826
2021-04-04,1,31159
2021-04-05,48,33430
2021-04-06,64,38549
2021-04-07,113,38467
2021-04-08,65,39704
2021-04-09,29,32372
2021-04-10,11,38830
2021-04-11,7,11357
2021-04-12,38,15009
2021-04-13,48,36251
2021-04-14,122,38112
2021-04-15,29,16291
2021-04-16,24,27170
2021-04-17,13,35717
2021-04-18,10,37376
2021-04-19,28,33795
2021-04-20,43,44952
2021-04-21,12,25777
2021-04-22,49,25700
2021-04-23,18,35846
2021-04-24,10,47731
2021-04-25,1,22997
2021-04-26,38,32386
2021-04-27,70,36567
2021-04-28,32,45106
2021-04-29,33,26953
2021-04-30,16,32732
2021-05-01,11,40767
2021-05-02,19,41656
2021-05-03,37,26586
2021-05-04,44,36734
2021-05-05,38,20867
2021-05-06,77,42423
2021-05-07,29,39262
2021-05-08,18,23509
2021-05-09,9,24224
2021-05-10,34,29367
2021-05-11,91,38641
2021-05-12,99,41430
2021-05-13,91,43289
2021-05-14,46,45104
2021-05-15,13,49375
2021-05-16,21,39729
2021-05-17,50,40536
2021-05-18,48,46002
2021-05-19,94,47398
2021-05-20,100,46231
2021-05-21,17,45946
2021-05-22,22,44924
2021-05-23,1,40316
2021-05-24,39,37115
2021-05-25,78,44425
2021-05-26,75,39409
2021-05-27,95,46906
2021-05-28,22,26739
2021-05-29,19,11549
2021-05-30,11,8962
2021-05-31,14,34915
2021-06-01,36,42058
2021-06-02,42,44904
2021-06-03,40,25579
2021-06-04,30,30387
2021-06-05,25,46633
2021-06-06,35,39368
2021-06-07,21,39261
2021-06-08,69,30625
2021-06-09,24,40575
2021-06-10,67,47677
2021-06-11,21,41470
2021-06-12,7,44171
2021-06-13,5,40058
2021-06-14,21,29120
2021-06-15,51,46317
2021-06-16,84,48798
2021-06-17,44,48457
2021-06-18,32,46601
2021-06-19,29,39565
2021-06-20,13,39800
2021-06-21,24,39888
2021-06-22,33,28846
2021-06-23,73,48460
2021-06-24,54,47740
2021-06-25,37,45619
2021-06-26,47,41972
2021-06-27,22,39127
2021-06-28,38,37582
2021-06-29,65,37061
2021-06-30,65,34279
2021-07-01,80,26001
2021-07-02,24,27416
2021-07-03,19,21968
2021-07-04,6,33586
2021-07-05,22,36274
2021-07-06,45,31538
2021-07-07,65,39064
2021-07-08,42,29437
2021-07-09,17,28763
2021-07-10,11,40927
2021-07-11,24,36156
2021-07-12,20,30975
2021-07-13,73,40478
2021-07-14,51,41533
2021-07-15,39,42554
2021-07-16,18,39353
2021-07-17,7,30914
2021-07-18,14,35884
2021-07-19,47,39523
2021-07-20,41,41476
2021-07-21,65,38157
2021-07-22,63,45301
2021-07-23,63,41941
2021-07-24,22,42719
2021-07-25,11,33077
2021-07-26,37,38347
2021-07-27,75,41506
2021-07-28,97,44088
2021-07-29,80,28183
2021-07-30,53,42847
2021-07-31,39,44875
2021-08-01,21,34021
2021-08-02,23,40594
2021-08-03,41,43115
2021-08-04,66,42113
2021-08-05,41,43180
2021-08-06,48,41902
2021-08-07,21,42700
2021-08-08,11,25386
2021-08-09,28,36027
2021-08-10,57,37125
2021-08-11,61,37772
2021-08-12,106,38017
2021-08-13,31,36583
2021-08-14,3,38618
2021-08-15,37,39288
2021-08-16,10,38898
2021-08-17,41,40555
2021-08-18,45,39657
2021-08-19,34,38547
2021-08-20,18,38716
2021-08-21,12,35109
2021-08-22,NA,8666
2021-08-23,11,23837
2021-08-24,53,42303
2021-08-25,47,40792
2021-08-26,34,40154
2021-08-27,29,33044
2021-08-28,6,33401
2021-08-29,7,39236
2021-08-30,22,35857
2021-08-31,56,42170
2021-09-01,44,18007
2021-09-02,93,48280
2021-09-03,36,45511
2021-09-04,28,41566
2021-09-05,26,30547
2021-09-06,32,38685
2021-09-07,51,43562
2021-09-08,58,44360
2021-09-09,22,26427
2021-09-10,25,47999
2021-09-11,19,48163
2021-09-12,16,40225
2021-09-13,37,41159
2021-09-14,45,47905
2021-09-15,63,47572
2021-09-16,50,40306
2021-09-17,17,42876
2021-09-18,26,48798
2021-09-19,27,45745
2021-09-20,64,45374
2021-09-21,78,48226
2021-09-22,75,45388
2021-09-23,98,32294
2021-09-24,35,43189
2021-09-25,4,49348
2021-09-26,21,43039
2021-09-27,22,44417
2021-09-28,34,36128
2021-09-29,34,47466
2021-09-30,77,45552
2021-10-01,39,44582
2021-10-02,11,45667
2021-10-03,19,41133
2021-10-04,36,27462
2021-10-05,35,41387
2021-10-06,35,45216
2021-10-07,30,47043
2021-10-08,31,45429
2021-10-09,13,39827
2021-10-10,6,24298
2021-10-11,25,37344
2021-10-12,35,44169
2021-10-13,36,45230
2021-10-14,93,48132
2021-10-15,41,47019
2021-10-16,6,34943
2021-10-17,27,35439
2021-10-18,34,35889
2021-10-19,73,41216
2021-10-20,84,46436
2021-10-21,94,47213
2021-10-22,32,44109
2021-10-23,29,33179
2021-10-24,60,33237
2021-10-25,16,36569
2021-10-26,17,16497
2021-10-27,21,36134
2021-10-28,38,37821
2021-10-29,21,28268
2021-10-30,13,22836
2021-10-31,7,29328
2021-11-01,13,34402
2021-11-02,28,30560
2021-11-03,52,33190
2021-11-04,93,32879
2021-11-05,78,31906
2021-11-06,56,30327
2021-11-07,3,25739
2021-11-08,56,33732
2021-11-09,80,39433
2021-11-10,122,39589
2021-11-11,97,36115
2021-11-12,33,24326
2021-11-13,13,25874
2021-11-14,47,23839
2021-11-15,29,26030
2021-11-16,48,29446
2021-11-17,42,32581
2021-11-18,70,37608
2021-11-19,22,28042
2021-11-20,5,25956
2021-11-21,18,24656
2021-11-22,12,23421
2021-11-23,23,23455
2021-11-24,12,22932
2021-11-25,1,12473
2021-11-26,18,12241
2021-11-27,12,14994
2021-11-28,6,16169
2021-11-29,28,23244
2021-11-30,54,24246
2021-12-01,41,28335
2021-12-02,43,30292
2021-12-03,15,27279
2021-12-04,8,24157
2021-12-05,4,22932
2021-12-06,16,25194
2021-12-07,12,25320
2021-12-08,26,24317
2021-12-09,42,24586
2021-12-10,38,27298
2021-12-11,18,20891
2021-12-12,12,22255
2021-12-13,30,26041
2021-12-14,17,28574
2021-12-15,40,27818
2021-12-16,19,31720
2021-12-17,8,28760
2021-12-18,5,14742
2021-12-19,NA,15922
2021-12-20,NA,17762
2021-12-21,4,19805
2021-12-22,20,18164
2021-12-23,3,16821
2021-12-24,3,12107
2021-12-25,NA,5947
2021-12-26,NA,13374
2021-12-27,1,13208
2021-12-28,7,17309
2021-12-29,11,15846
2021-12-30,6,18419
2021-12-31,3,19353
2022-01-01,5,8522
2022-01-02,2,17397
2022-01-03,5,13763
2022-01-04,4,15968
2022-01-05,9,14781
2022-01-06,16,19873
2022-01-07,10,8977
2022-01-08,9,10752
2022-01-09,19,10112
2022-01-10,6,15084
2022-01-11,28,11464
2022-01-12,59,17378
2022-01-13,49,21983
2022-01-14,28,19600
2022-01-15,8,9656
2022-01-16,2,9296
2022-01-17,15,11404
2022-01-18,31,17306
2022-01-19,40,21615
2022-01-20,14,13349
2022-01-21,17,13619
2022-01-22,23,12229
2022-01-23,6,13347
2022-01-24,15,16069
2022-01-25,37,20576
2022-01-26,20,16343
2022-01-27,19,17562
2022-01-28,18,14425
2022-01-29,NA,1619
2022-01-30,2,4789
2022-01-31,14,9160
2022-02-01,30,11416
2022-02-02,10,15280
2022-02-03,26,11288
2022-02-04,6,9671
2022-02-05,21,11460
2022-02-06,7,11830
2022-02-07,11,13012
2022-02-08,37,21754
2022-02-09,56,22950
2022-02-10,41,26078
2022-02-11,17,27221
2022-02-12,9,29141
2022-02-13,2,10233
2022-02-14,19,13859
2022-02-15,49,15993
2022-02-16,68,22684
2022-02-17,66,28191
2022-02-18,23,19886
2022-02-19,10,14158
2022-02-20,21,13813
2022-02-21,39,22206
2022-02-22,74,15487
2022-02-23,51,28174
2022-02-24,38,19170
2022-02-25,14,12995
2022-02-26,19,17411
2022-02-27,19,18590
2022-02-28,18,18642
2022-03-01,24,22959
2022-03-02,39,28134
2022-03-03,70,22978
2022-03-04,45,20427
2022-03-05,17,20633
2022-03-06,17,21124
2022-03-07,59,27409
2022-03-08,51,25404
2022-03-09,15,11529
2022-03-10,79,25875
2022-03-11,18,28166
2022-03-12,11,9388
2022-03-13,9,12684
2022-03-14,15,24995
2022-03-15,63,32512
2022-03-16,76,34230
2022-03-17,30,18764
2022-03-18,63,37123
2022-03-19,7,27580
2022-03-20,21,26639
2022-03-21,20,30947
2022-03-22,68,32043
2022-03-23,40,24199
2022-03-24,16,16439
2022-03-25,48,30013
2022-03-26,28,22711
2022-03-27,18,18646
2022-03-28,15,15102
2022-03-29,42,18543
2022-03-30,64,23683
2022-03-31,53,25866
2022-04-01,73,25285
2022-04-02,40,28365
2022-04-03,40,14643
2022-04-04,20,28219
2022-04-05,57,27997
2022-04-06,27,16782
2022-04-07,22,14517
2022-04-08,30,34237
2022-04-09,9,25777
2022-04-10,11,22911
2022-04-11,14,29868
2022-04-12,83,37066
2022-04-13,110,41798
2022-04-14,100,35275
2022-04-15,42,38312
2022-04-16,17,31313
2022-04-17,1,21092
2022-04-18,15,21288
2022-04-19,60,21305
2022-04-20,106,32758
2022-04-21,63,31375
2022-04-22,23,38763
2022-04-23,7,33688
2022-04-24,29,32276
2022-04-25,26,30107
2022-04-26,37,28381
2022-04-27,74,32842
2022-04-28,62,29519
2022-04-29,21,33483
2022-04-30,53,39553
2022-05-01,18,43706
2022-05-02,7,19423
2022-05-03,41,37316
2022-05-04,42,26583
2022-05-05,97,43766
2022-05-06,53,15705
2022-05-07,11,9175
2022-05-08,22,21171
2022-05-09,40,34121
2022-05-10,87,39319
2022-05-11,82,39462
2022-05-12,71,38238
2022-05-13,27,35289
2022-05-14,33,30985
2022-05-15,15,41695
2022-05-16,17,29165
2022-05-17,75,48970
2022-05-18,44,47698
2022-05-19,57,32655
2022-05-20,4,34908
2022-05-21,10,43158
2022-05-22,40,38570
2022-05-23,9,42591
2022-05-24,61,43910
2022-05-25,26,47416
2022-05-26,32,45360
2022-05-27,38,34782
2022-05-28,17,30375
2022-05-29,15,41008
2022-05-30,11,40020
2022-05-31,53,42405
2022-06-01,40,38490
2022-06-02,79,35289
2022-06-03,44,45035
2022-06-04,25,48710
2022-06-05,21,44983
2022-06-06,38,45226
2022-06-07,97,43095
2022-06-08,94,50066
2022-06-09,115,43321
2022-06-10,53,47636
2022-06-11,14,44769
2022-06-12,19,30065
2022-06-13,33,45031
2022-06-14,69,50293
2022-06-15,131,51892
2022-06-16,43,36970
2022-06-17,58,46423
2022-06-18,32,42366
2022-06-19,23,40946
2022-06-20,44,44162
2022-06-21,77,41339
2022-06-22,50,34116
2022-06-23,60,45321
2022-06-24,46,48543
2022-06-25,15,45221
2022-06-26,34,39826
2022-06-27,32,29302
2022-06-28,23,49581
2022-06-29,48,49506
2022-06-30,57,47926
2022-07-01,35,42835
2022-07-02,12,34375
2022-07-03,21,36413
2022-07-04,18,33310
2022-07-05,54,36457
2022-07-06,58,46921
2022-07-07,84,47638
2022-07-08,67,40018
2022-07-09,26,44359
2022-07-10,26,41928
2022-07-11,34,44406
2022-07-12,66,42898
2022-07-13,76,46546
2022-07-14,115,46716
2022-07-15,59,45285
2022-07-16,24,39695
2022-07-17,8,40377
2022-07-18,31,30503
2022-07-19,67,45917
2022-07-20,88,44946
2022-07-21,52,42051
2022-07-22,68,42154
2022-07-23,21,39291
2022-07-24,13,35461
2022-07-25,31,34333
2022-07-26,56,48420
2022-07-27,61,49279
2022-07-28,47,43484
2022-07-29,22,43454
2022-07-30,12,45159
2022-07-31,40,40642
2022-08-01,31,35042
2022-08-02,57,47818
2022-08-03,37,48302
2022-08-04,78,46511
2022-08-05,64,43489
2022-08-06,78,45373
2022-08-07,52,34809
2022-08-08,38,40244
2022-08-09,105,40908
2022-08-10,119,47621
2022-08-11,105,42290
2022-08-12,75,47338
2022-08-13,51,50651
2022-08-14,55,44174
2022-08-15,27,44316
2022-08-16,53,49057
2022-08-17,90,46949
2022-08-18,48,48540
2022-08-19,29,45950
2022-08-20,23,47976
2022-08-21,39,41533
2022-08-22,35,30119
2022-08-23,48,44209
2022-08-24,109,48032
2022-08-25,88,46800
2022-08-26,65,40538
2022-08-27,37,42878
2022-08-28,71,40133
2022-08-29,36,42000
2022-08-30,75,43828
2022-08-31,91,47056
2022-09-01,77,47367
2022-09-02,49,46420
2022-09-03,47,42345
2022-09-04,37,38909
2022-09-05,9,34268
2022-09-06,14,18121
2022-09-07,57,43247
2022-09-08,55,52199
2022-09-09,68,51153
2022-09-10,41,48881
2022-09-11,27,26912
2022-09-12,31,42022
2022-09-13,76,43810
2022-09-14,134,51394
2022-09-15,71,51654
2022-09-16,98,48890
2022-09-17,35,47261
2022-09-18,33,44071
2022-09-19,20,40612
2022-09-20,59,50837
2022-09-21,64,53577
2022-09-22,49,35834
2022-09-23,36,43199
2022-09-24,51,41073
2022-09-25,57,31698
2022-09-26,37,40563
2022-09-27,80,45566
2022-09-28,76,48496
2022-09-29,71,46602
2022-09-30,56,42401
2022-10-01,48,20687
2022-10-02,27,17571
2022-10-03,22,21090
2022-10-04,21,18740
2022-10-05,46,24858
2022-10-06,77,47145
2022-10-07,88,45498
2022-10-08,53,36828
2022-10-09,28,33711
2022-10-10,32,37229
2022-10-11,58,45164
2022-10-12,79,45901
2022-10-13,90,28193
2022-10-14,56,41626
2022-10-15,25,41560
2022-10-16,42,36144
2022-10-17,17,30677
2022-10-18,108,39714
2022-10-19,59,38383
2022-10-20,45,39181
2022-10-21,77,39928
2022-10-22,33,40539
2022-10-23,28,23599
2022-10-24,27,25066
2022-10-25,38,34850
2022-10-26,55,40170
2022-10-27,56,43738
2022-10-28,34,38563
2022-10-29,37,36144
2022-10-30,13,34094
2022-10-31,24,35581
2022-11-01,47,37738
2022-11-02,50,42732
2022-11-03,73,41342
2022-11-04,39,40545
2022-11-05,5,41781
2022-11-06,37,32348
2022-11-07,67,39983
2022-11-08,51,35448
2022-11-09,46,34775
2022-11-10,104,38792
2022-11-11,26,20106
2022-11-12,12,36777
2022-11-13,53,23658
2022-11-14,20,27018
2022-11-15,29,24058
2022-11-16,43,26105
2022-11-17,37,28444
2022-11-18,34,26561
2022-11-19,8,21334
2022-11-20,41,17020
2022-11-21,14,22170
2022-11-22,71,27113
2022-11-23,30,27088
2022-11-24,6,13228
2022-11-25,24,15709
2022-11-26,23,22675
2022-11-27,20,14547
2022-11-28,36,27276
2022-11-29,44,28002
2022-11-30,34,19091
2022-12-01,58,27526
2022-12-02,46,28386
2022-12-03,9,17426
2022-12-04,20,23619
2022-12-05,30,27837
2022-12-06,22,20827
2022-12-07,37,26932
2022-12-08,42,33334
2022-12-09,39,28406
2022-12-10,11,22598
2022-12-11,15,14424
2022-12-12,22,23189
2022-12-13,33,24575
2022-12-14,13,25395
2022-12-15,11,17903
2022-12-16,7,13883
2022-12-17,15,21784
2022-12-18,24,18412
2022-12-19,14,21525
2022-12-20,31,23432
2022-12-21,16,23411
2022-12-22,28,16225
2022-12-23,6,12684
2022-12-24,3,6263
2022-12-25,NA,5047
2022-12-26,19,10778
2022-12-27,25,15945
2022-12-28,41,19255
2022-12-29,40,21990
2022-12-30,10,25626
2022-12-31,4,13932
2023-01-01,10,19356
2023-01-02,44,23069
2023-01-03,29,20904
2023-01-04,52,28167
2023-01-05,44,28525
2023-01-06,27,24237
2023-01-07,10,22643
2023-01-08,31,20162
2023-01-09,35,24150
2023-01-10,28,26227
2023-01-11,41,25790
2023-01-12,26,19719
2023-01-13,21,25073
2023-01-14,7,17771
2023-01-15,9,17727
2023-01-16,19,20275
2023-01-17,46,26669
2023-01-18,36,30568
2023-01-19,16,15069
2023-01-20,33,27233
2023-01-21,22,22996
2023-01-22,24,17787
2023-01-23,13,15518
2023-01-24,39,27092
2023-01-25,39,16510
2023-01-26,72,25173
2023-01-27,16,26647
2023-01-28,5,26113
2023-01-29,20,24111
2023-01-30,67,29168
2023-01-31,35,23061
2023-02-01,63,22557
2023-02-02,48,25161
2023-02-03,14,15443
2023-02-04,5,10594
2023-02-05,17,19869
2023-02-06,41,26391
2023-02-07,29,25812
2023-02-08,72,31490
2023-02-09,61,29329
2023-02-10,35,33090
2023-02-11,17,23701
2023-02-12,27,22287
2023-02-13,7,29257
2023-02-14,42,31468
2023-02-15,65,35591
2023-02-16,30,28538
2023-02-17,13,18865
2023-02-18,12,20135
2023-02-19,25,21185
2023-02-20,12,28069
2023-02-21,33,21828
2023-02-22,37,19887
2023-02-23,64,25007
2023-02-24,21,23216
2023-02-25,27,16819
2023-02-26,28,21971
2023-02-27,29,22702
2023-02-28,30,13695
2023-03-01,67,25820
2023-03-02,58,27809
2023-03-03,25,25036
2023-03-04,13,22134
2023-03-05,37,27467
2023-03-06,32,28773
2023-03-07,61,24980
2023-03-08,55,27553
2023-03-09,61,29863
2023-03-10,26,22247
2023-03-11,9,18395
2023-03-12,15,22977
2023-03-13,20,13589
2023-03-14,8,13704
2023-03-15,30,22668
2023-03-16,60,32010
2023-03-17,63,31513
2023-03-18,32,28600
2023-03-19,25,18881
2023-03-20,34,26803
2023-03-21,24,35794
2023-03-22,104,34350
2023-03-23,67,28708
2023-03-24,89,29549
2023-03-25,43,14297
2023-03-26,48,36225
2023-03-27,44,25449
2023-03-28,70,31111
2023-03-29,170,34862
2023-03-30,136,28482
2023-03-31,71,29752
2023-04-01,40,24042
2023-04-02,44,27653
2023-04-03,20,31927
2023-04-04,62,42507
2023-04-05,37,29664
2023-04-06,61,35627
2023-04-07,61,30382
2023-04-08,48,28572
2023-04-09,14,27508
2023-04-10,32,34291
2023-04-11,57,40853
2023-04-12,118,44671
2023-04-13,117,45889
2023-04-14,54,43452
2023-04-15,32,34061
2023-04-16,23,38147
2023-04-17,62,32140
2023-04-18,78,35483
2023-04-19,99,38662
2023-04-20,128,41082
2023-04-21,54,40008
2023-04-22,4,36752
2023-04-23,52,29790
2023-04-24,12,35920
2023-04-25,79,39712
2023-04-26,88,38522
2023-04-27,49,36513
2023-04-28,55,30410
2023-04-29,11,10501
2023-04-30,8,12685
2023-05-01,24,35535
2023-05-02,35,31699
2023-05-03,96,36046
2023-05-04,83,32061
2023-05-05,68,39844
2023-05-06,44,45028
2023-05-07,38,50496
2023-05-08,55,42954
2023-05-09,60,42458
2023-05-10,76,45952
2023-05-11,85,47650
2023-05-12,42,46162
2023-05-13,15,44117
2023-05-14,44,39673
2023-05-15,60,41703
2023-05-16,56,45972
2023-05-17,93,43243
2023-05-18,42,41473
2023-05-19,39,41996
2023-05-20,7,17717
2023-05-21,37,41520
2023-05-22,38,41173
2023-05-23,24,43939
2023-05-24,25,43409
2023-05-25,36,43510
2023-05-26,42,42969
2023-05-27,26,39684
2023-05-28,9,37183
2023-05-29,8,38331
2023-05-30,36,42620
2023-05-31,28,44635
2023-06-01,46,47328
2023-06-02,28,41547
2023-06-03,20,39127
2023-06-04,25,35186
2023-06-05,10,42835
2023-06-06,35,41148
2023-06-07,91,33156
2023-06-08,34,31332
2023-06-09,24,36126
2023-06-10,17,42355
2023-06-11,16,40243
2023-06-12,15,33744
2023-06-13,55,47814
2023-06-14,111,41336
2023-06-15,68,48710
2023-06-16,25,36122
2023-06-17,16,41434
2023-06-18,19,40038
2023-06-19,45,42543
2023-06-20,85,45729
2023-06-21,86,46085
2023-06-22,110,35962
2023-06-23,35,34387
2023-06-24,21,33495
2023-06-25,29,37680
2023-06-26,26,34044
2023-06-27,14,38738
2023-06-28,78,42715
2023-06-29,23,44003
2023-06-30,14,30709
